id,name,type,year_start,year_end,description,key_works,tags,related_to,primary_field,key_contributions,relevance_to_phd,focus_tags
1,Plato,person,428 BCE,348 BCE,"Ancient Greek philosopher who founded the Academy in Athens. Developed the Theory of Forms (or Ideas), arguing that the material world is a shadow of an eternal realm of perfect Forms. His dialogues established the foundation for Western philosophy and idealist metaphysics.","The Republic, Symposium, Phaedo",idealism;classical-philosophy;epistemology,2;3
2,Aristotle,person,384 BCE,322 BCE,"Student of Plato who founded the Lyceum. Developed empirical approach to knowledge and formal logic. His works covered physics, metaphysics, ethics, politics, and biology. Emphasized observation and categorization as paths to understanding reality.","Metaphysics, Nicomachean Ethics, Politics, Organon",empiricism;classical-philosophy;logic;natural-law,1;3
3,Classical Philosophy,framework,500 BCE,400 CE,"Ancient Greek and Roman philosophical traditions that established fundamental questions about reality, knowledge, ethics, and politics. Emphasized rational inquiry and systematic thinking. Foundational for Western intellectual tradition.",,,1;2;4
4,Stoicism,framework,300 BCE,200 CE,"Hellenistic philosophy founded by Zeno of Citium. Emphasized virtue ethics, acceptance of fate, and living in accordance with nature and reason. Taught that external events cannot harm us; only our judgments about them can. Influenced Roman thought through Seneca and Marcus Aurelius.","Meditations (Marcus Aurelius), Letters (Seneca)",ethics;natural-law;classical-philosophy,3
5,Augustine of Hippo,person,354,430,"Early Christian theologian and philosopher who synthesized classical philosophy with Christian doctrine. In 'City of God' (413-426 CE), he developed a Christian philosophy of history interpreting events through divine providence, establishing the concept of linear historical time versus cyclical classical views.","City of God, Confessions",christian-thought;theology;linear-time;divine-providence,
6,Early Christian Thought,framework,100,500,"Patristic theology that integrated Greek philosophy with Christian revelation. Established theological foundations and interpretive frameworks that dominated medieval thought. Introduced linear conception of history with eschatological purpose.",,,5
7,Ibn Khaldun,person,1332,1406,"Arab scholar who wrote the Muqaddimah (1377), developing a cyclical theory of civilizations. Pioneered sociological analysis by examining social cohesion ('asabiyyah) and economic factors in the rise and fall of dynasties. Considered a founder of sociology and historiography.","Muqaddimah (Introduction to History)",islamic-philosophy;sociology;economic-history;cyclical-theory,
8,Islamic Philosophy,framework,800,1400,"Medieval Islamic intellectual tradition that preserved and advanced Greek philosophy. Made major contributions to logic, metaphysics, medicine, and mathematics. Created dialogue between Aristotelian rationalism and Islamic theology.",,,7;9;10
9,Averroes,person,1126,1198,"Ibn Rushd, Andalusian philosopher who wrote extensive commentaries on Aristotle. Defended rational philosophy against theological attacks. His work influenced both Islamic and Christian scholasticism, particularly Thomas Aquinas.",,"islamic-philosophy;aristotelianism;rationalism",8;11
10,Avicenna,person,980,1037,"Ibn Sina, Persian polymath who synthesized Aristotelian philosophy with Islamic thought. Made groundbreaking contributions to medicine and metaphysics. His 'Canon of Medicine' remained a standard medical text for centuries.","The Canon of Medicine, The Book of Healing",islamic-philosophy;medicine;metaphysics,8
11,Thomas Aquinas,person,1225,1274,"Dominican friar who synthesized Aristotelian philosophy with Christian theology in his Summa Theologica (1265-1274). Developed natural law theory and five proofs for God's existence. Became the most influential medieval scholastic philosopher.","Summa Theologica, Summa Contra Gentiles",scholasticism;natural-law;christianity;aristotelianism,9;12
